model,task,cfg,n,mean,ci_low,ci_high,elapsed_median,tool_calls_median,submitted_rate
deepseek-v4-flash,burn,C0,50,0.342268,0.2595536,0.42393764999999994,275.075,14.0,1.0
deepseek-v4-flash,burn,C1,50,0.35265599999999997,0.2682682,0.4391892,302.34000000000003,15.5,1.0
deepseek-v4-flash,burn,C2,50,0.368624,0.2790835,0.4637943,309.69,18.0,1.0
deepseek-v4-flash,burn,C3,50,0.35577200000000003,0.2685672,0.4400443499999999,162.365,10.0,1.0
deepseek-v4-flash,burn,C4,50,0.32540399999999997,0.245083,0.40712315,385.06,18.0,1.0
deepseek-v4-flash,burn,C5,50,0.340304,0.2562354,0.4184875,162.20999999999998,11.0,1.0
deepseek-v4-flash,burn,C6,50,0.34740399999999994,0.26779729999999996,0.4301239999999999,159.425,9.5,1.0
deepseek-v4-flash,burn,C7,50,0.332528,0.2514219,0.4106707500000001,164.07999999999998,10.0,1.0
deepseek-v4-flash,change,C0,50,0.243596,0.18886304999999998,0.30058125,305.905,16.5,1.0
deepseek-v4-flash,change,C1,50,0.234648,0.18039780000000002,0.2864322499999999,374.09000000000003,19.0,1.0
deepseek-v4-flash,change,C2,50,0.22281800000000002,0.17585195,0.27537979999999995,369.66999999999996,19.0,1.0
deepseek-v4-flash,change,C3,50,0.318042,0.2547557,0.38255764999999997,126.41499999999999,8.0,1.0
deepseek-v4-flash,change,C4,50,0.255148,0.19409230000000002,0.31778419999999996,409.265,19.0,1.0
deepseek-v4-flash,change,C5,50,0.316362,0.25210945000000007,0.38436225000000007,132.73,9.0,1.0
deepseek-v4-flash,change,C6,50,0.314326,0.2534536,0.37770884999999993,149.76,9.0,1.0
deepseek-v4-flash,change,C7,50,0.315492,0.25568495,0.37829605,124.975,8.0,1.0
deepseek-v4-flash,landcover,C0,50,0.7259960000000001,0.6842403,0.7671153499999999,303.96000000000004,14.5,1.0
deepseek-v4-flash,landcover,C1,50,0.728592,0.6893563500000001,0.7663194499999998,341.185,18.0,1.0
deepseek-v4-flash,landcover,C2,50,0.7274560000000001,0.6853896,0.7660218499999999,352.345,18.5,1.0
deepseek-v4-flash,landcover,C3,50,0.7134560000000002,0.6752544499999998,0.7489745499999999,173.03500000000003,10.0,1.0
deepseek-v4-flash,landcover,C4,50,0.717162,0.6774294999999998,0.7542720500000001,358.725,18.0,1.0
deepseek-v4-flash,landcover,C5,50,0.7202839999999999,0.6832964,0.7586191499999999,210.24,12.0,1.0
deepseek-v4-flash,landcover,C6,50,0.7186420000000001,0.6772420000000001,0.7561760000000001,219.82999999999998,12.0,1.0
deepseek-v4-flash,landcover,C7,50,0.717304,0.6800442499999999,0.7559096499999998,225.515,12.0,1.0
deepseek-v4-flash,query,C0,50,0.18114199999999997,0.12701115,0.2441185999999999,569.025,26.0,1.0
deepseek-v4-flash,query,C1,50,0.19167199999999998,0.12708425,0.2652141999999999,428.13,25.5,1.0
deepseek-v4-flash,query,C2,50,0.21675999999999998,0.15175290000000002,0.28730835,449.885,28.0,1.0
deepseek-v4-flash,query,C3,50,0.212714,0.15178604999999998,0.28388515,331.08,17.0,1.0
deepseek-v4-flash,query,C4,50,0.18446800000000002,0.12926800000000002,0.24360854999999995,448.27,24.5,1.0
deepseek-v4-flash,query,C5,50,0.21906000000000003,0.15258285000000002,0.28853294999999995,362.5,21.0,1.0
deepseek-v4-flash,query,C6,50,0.23179199999999997,0.16310185000000002,0.30078525,376.555,20.0,1.0
deepseek-v4-flash,query,C7,50,0.21588600000000002,0.1560834,0.2873596999999999,321.525,18.0,1.0
deepseek-v4-flash,water,C0,50,0.6585119999999999,0.5678561999999999,0.7448782499999999,241.03,13.0,1.0
deepseek-v4-flash,water,C1,50,0.639766,0.5388383,0.7355538499999998,299.93,17.0,1.0
deepseek-v4-flash,water,C2,50,0.6440440000000001,0.5498818000000001,0.7319658999999998,324.37,18.5,1.0
deepseek-v4-flash,water,C3,50,0.685088,0.5970736,0.7664755999999999,157.74,9.0,1.0
deepseek-v4-flash,water,C4,50,0.6423519999999999,0.5509245500000001,0.7293489499999999,282.41999999999996,16.0,1.0
deepseek-v4-flash,water,C5,50,0.6692419999999999,0.5759755000000001,0.75560115,157.5,10.0,1.0
deepseek-v4-flash,water,C6,50,0.654448,0.5576667999999998,0.7486594499999997,154.775,10.0,1.0
deepseek-v4-flash,water,C7,50,0.6984239999999999,0.6117902500000001,0.7754314999999998,159.055,10.0,1.0
deepseek-v4-pro,burn,C0,50,0.30961999999999995,0.22878265,0.38912135,995.9300000000001,20.0,1.0
deepseek-v4-pro,burn,C1,50,0.33085000000000003,0.2534704,0.41539855,845.74,23.0,1.0
deepseek-v4-pro,burn,C2,50,0.34556800000000004,0.2600363,0.43884749999999983,958.95,22.0,1.0
deepseek-v4-pro,burn,C3,50,0.32408999999999993,0.25057395,0.39848345,290.975,7.0,1.0
deepseek-v4-pro,burn,C4,50,0.354574,0.2641751500000001,0.44475075000000003,943.98,24.0,1.0
deepseek-v4-pro,burn,C5,50,0.33139,0.2567491,0.41029954999999996,355.1,8.0,1.0
deepseek-v4-pro,burn,C6,50,0.353566,0.26915540000000004,0.4331634499999999,420.16499999999996,9.0,1.0
deepseek-v4-pro,burn,C7,50,0.31552,0.24009715000000004,0.39523249999999993,426.805,10.0,1.0
deepseek-v4-pro,change,C0,50,0.2819,0.2335473,0.3326918499999999,927.1949999999999,20.0,1.0
deepseek-v4-pro,change,C1,50,0.300502,0.23716435000000002,0.3644924,683.6949999999999,21.0,1.0
deepseek-v4-pro,change,C2,50,0.26885999999999993,0.21588385000000004,0.32187645000000004,915.065,21.0,1.0
deepseek-v4-pro,change,C3,50,0.299126,0.2380317,0.36230130000000005,360.53,9.0,1.0
deepseek-v4-pro,change,C4,50,0.29518999999999995,0.23183605000000002,0.35795999999999994,917.75,25.0,1.0
deepseek-v4-pro,change,C5,50,0.312654,0.24943085,0.37719779999999986,402.235,10.0,1.0
deepseek-v4-pro,change,C6,50,0.305174,0.24069165,0.37511095000000005,349.65,9.0,1.0
deepseek-v4-pro,change,C7,50,0.314382,0.2539371,0.3788408,397.65,10.0,1.0
deepseek-v4-pro,landcover,C0,50,0.722376,0.6808877500000001,0.7617786000000001,743.77,16.5,1.0
deepseek-v4-pro,landcover,C1,50,0.724696,0.685132,0.7637651000000001,779.5999999999999,22.0,1.0
deepseek-v4-pro,landcover,C2,50,0.7171259999999999,0.6791857499999999,0.7551714,874.215,19.0,1.0
deepseek-v4-pro,landcover,C3,50,0.7157899999999999,0.6756923500000002,0.7539724,399.315,10.0,1.0
deepseek-v4-pro,landcover,C4,50,0.7195160000000002,0.68156995,0.7554001000000001,871.485,26.0,1.0
deepseek-v4-pro,landcover,C5,50,0.7221620000000002,0.6797710499999999,0.7608769,473.74,13.0,1.0
deepseek-v4-pro,landcover,C6,50,0.722358,0.6841039500000002,0.7617696500000001,476.42,11.5,1.0
deepseek-v4-pro,landcover,C7,50,0.715634,0.6792384500000002,0.7536933,506.35,12.0,1.0
deepseek-v4-pro,query,C0,50,0.22586000000000003,0.1626637,0.29600095,894.595,22.0,1.0
deepseek-v4-pro,query,C1,50,0.223974,0.15715205000000004,0.29562229999999995,835.97,25.0,1.0
deepseek-v4-pro,query,C2,50,0.207162,0.1458454,0.27635019999999993,883.67,21.0,1.0
deepseek-v4-pro,query,C3,50,0.219088,0.1585423,0.28775674999999995,494.125,14.0,1.0
deepseek-v4-pro,query,C4,50,0.21569,0.15473979999999998,0.28231175,875.08,26.0,1.0
deepseek-v4-pro,query,C5,50,0.20768600000000004,0.14209250000000007,0.2784191,643.83,18.0,1.0
deepseek-v4-pro,query,C6,50,0.20703799999999997,0.14760025000000004,0.27760289999999993,694.525,18.0,1.0
deepseek-v4-pro,query,C7,50,0.23760399999999998,0.17451360000000002,0.3051486,695.61,19.0,1.0
deepseek-v4-pro,water,C0,50,0.6832919999999999,0.5843919,0.7744241499999999,713.72,18.0,1.0
deepseek-v4-pro,water,C1,50,0.632654,0.51845545,0.7372423500000002,638.76,19.0,1.0
deepseek-v4-pro,water,C2,50,0.6635179999999999,0.5665134500000001,0.7623848499999999,758.6949999999999,20.0,1.0
deepseek-v4-pro,water,C3,50,0.6413760000000001,0.5350572,0.7387949500000001,291.895,7.5,1.0
deepseek-v4-pro,water,C4,50,0.6900460000000002,0.5887914500000001,0.7784359999999999,747.665,22.0,1.0
deepseek-v4-pro,water,C5,50,0.641696,0.5392141,0.7415468999999999,328.20000000000005,9.0,1.0
deepseek-v4-pro,water,C6,50,0.672704,0.5790273499999999,0.7619987500000001,361.78999999999996,9.0,1.0
deepseek-v4-pro,water,C7,50,0.6660520000000001,0.57232455,0.7561095999999999,290.65,9.0,1.0
kimi-k2.6,burn,C0,50,0.333104,0.25075585,0.42034424999999986,722.5550000000001,22.5,1.0
kimi-k2.6,burn,C1,50,0.34915399999999996,0.26481800000000005,0.44219329999999996,708.235,25.0,1.0
kimi-k2.6,burn,C2,50,0.33429000000000003,0.24828399999999998,0.4265008,825.985,26.0,1.0
kimi-k2.6,burn,C3,50,0.36331199999999997,0.27047175,0.45568634999999996,644.415,17.0,1.0
kimi-k2.6,burn,C4,50,0.348688,0.26122924999999997,0.44424235000000006,714.905,27.0,1.0
kimi-k2.6,burn,C5,50,0.36080799999999996,0.27059924999999996,0.45064515,583.605,15.0,1.0
kimi-k2.6,burn,C6,50,0.349248,0.2631866,0.43780470000000005,647.2249999999999,17.5,1.0
kimi-k2.6,burn,C7,50,0.380308,0.29280885,0.4717639999999999,583.21,16.5,1.0
kimi-k2.6,change,C0,50,0.30710800000000005,0.24194250000000003,0.3762637999999999,616.335,14.5,1.0
kimi-k2.6,change,C1,50,0.325114,0.2596126,0.3930803500000001,546.59,18.0,1.0
kimi-k2.6,change,C2,50,0.301378,0.23712685,0.3678352,681.4949999999999,23.0,1.0
kimi-k2.6,change,C3,50,0.312664,0.24691035000000003,0.37667484999999995,354.135,9.5,1.0
kimi-k2.6,change,C4,50,0.321162,0.26058840000000005,0.38398344999999995,551.3499999999999,18.0,1.0
kimi-k2.6,change,C5,50,0.312498,0.24854435000000002,0.3774826999999999,391.255,10.0,1.0
kimi-k2.6,change,C6,50,0.30866400000000005,0.24636885000000006,0.3706050999999999,335.565,9.0,1.0
kimi-k2.6,change,C7,50,0.32297,0.25858275000000003,0.3855757,413.03,10.0,1.0
kimi-k2.6,landcover,C0,50,0.72027,0.6800493,0.75730315,804.165,16.0,0.98
kimi-k2.6,landcover,C1,50,0.7034659999999999,0.6503373,0.7483156499999999,739.875,26.0,1.0
kimi-k2.6,landcover,C2,50,0.68117,0.6175222,0.7399039500000001,834.445,28.0,1.0
kimi-k2.6,landcover,C3,50,0.7248260000000001,0.6847607000000001,0.7640982,659.355,14.5,1.0
kimi-k2.6,landcover,C4,50,0.688684,0.6298978000000001,0.7419349999999999,764.38,29.0,1.0
kimi-k2.6,landcover,C5,50,0.7213919999999999,0.68385175,0.76018405,548.55,17.0,1.0
kimi-k2.6,landcover,C6,50,0.7133120000000001,0.66360955,0.7580572999999999,774.62,20.0,1.0
kimi-k2.6,landcover,C7,50,0.713636,0.6646848500000001,0.7583222500000001,744.1700000000001,20.0,1.0
kimi-k2.6,query,C0,50,0.194792,0.1333871,0.2650874,977.53,29.0,1.0
kimi-k2.6,query,C1,50,0.18846000000000004,0.12706995,0.25849485,777.825,30.0,1.0
kimi-k2.6,query,C2,50,0.18288000000000001,0.12208825000000002,0.24926069999999997,692.6800000000001,30.0,1.0
kimi-k2.6,query,C3,50,0.21969200000000005,0.16141270000000002,0.28716795,864.085,27.0,0.94
kimi-k2.6,query,C4,50,0.1573,0.10294895000000003,0.21511474999999997,704.875,30.0,1.0
kimi-k2.6,query,C5,50,0.18498199999999998,0.12304085000000005,0.25394445,793.74,30.0,1.0
kimi-k2.6,query,C6,50,0.19561000000000003,0.1343667,0.2666578499999999,737.835,29.5,0.98
kimi-k2.6,query,C7,50,0.190814,0.13182815,0.2581335499999999,728.47,30.0,1.0
kimi-k2.6,water,C0,50,0.619334,0.5120576,0.7234474499999998,740.625,20.5,0.98
kimi-k2.6,water,C1,50,0.647284,0.540937,0.7402456999999999,687.8,22.0,1.0
kimi-k2.6,water,C2,50,0.63823,0.5305663500000001,0.7410202999999999,743.0999999999999,27.5,1.0
kimi-k2.6,water,C3,50,0.6344680000000001,0.52845635,0.7405419000000002,511.015,11.0,1.0
kimi-k2.6,water,C4,50,0.6432899999999999,0.5377732000000001,0.7435584999999999,661.27,22.5,1.0
kimi-k2.6,water,C5,50,0.6414,0.5318616500000002,0.7457540999999996,538.235,13.0,0.98
kimi-k2.6,water,C6,50,0.661294,0.5582058,0.7617896000000001,569.8,12.5,1.0
kimi-k2.6,water,C7,50,0.672236,0.5760877000000001,0.7641542,574.4000000000001,15.5,1.0
qwen3-14b,burn,C0,50,0.18516,0.1202508,0.26147604999999996,126.325,1.0,1.0
qwen3-14b,burn,C1,50,0.17581600000000003,0.109248,0.24509969999999995,136.36,3.0,1.0
qwen3-14b,burn,C2,50,0.13848999999999997,0.09185325000000001,0.19100289999999998,131.04,3.0,1.0
qwen3-14b,burn,C3,50,0.17363200000000004,0.10967360000000001,0.24152189999999993,118.99000000000001,1.0,1.0
qwen3-14b,burn,C4,50,0.200318,0.12885385000000002,0.277443,140.245,2.0,1.0
qwen3-14b,burn,C5,50,0.25009799999999993,0.17597435000000006,0.32399259999999985,145.185,2.0,1.0
qwen3-14b,burn,C6,50,0.207722,0.13849925000000002,0.28968615,131.57999999999998,1.0,1.0
qwen3-14b,burn,C7,50,0.21504399999999996,0.15035215,0.2796605,162.03,2.0,1.0
qwen3-14b,change,C0,50,0.065414,0.04103965,0.09598015000000001,133.23000000000002,1.0,1.0
qwen3-14b,change,C1,50,0.105516,0.07481475000000001,0.14134464999999996,147.745,1.0,1.0
qwen3-14b,change,C2,50,0.074568,0.0511467,0.10321794999999996,143.065,2.0,1.0
qwen3-14b,change,C3,50,0.11590400000000002,0.0807757,0.15656214999999996,143.23000000000002,1.0,1.0
qwen3-14b,change,C4,50,0.10810800000000001,0.07641675000000002,0.1449712,134.69,1.0,1.0
qwen3-14b,change,C5,50,0.259168,0.19569480000000003,0.3263964999999999,143.285,2.0,1.0
