model,cfg,n,f1_mean,elapsed_median,elapsed_p90,tool_calls_median,tool_calls_p90,retry_rate,submit_attempts_mean,tokens_est_median
deepseek-v4-flash,C0,250,0.4303028,319.385,604.404,16.0,27.0,0.0,1.0,12775.4
deepseek-v4-flash,C1,250,0.4294668,339.45,548.462,18.5,27.0,0.0,1.0,13578.0
deepseek-v4-flash,C2,250,0.4359404,363.88,588.5400000000001,20.0,30.0,0.0,1.064,14555.2
deepseek-v4-flash,C3,250,0.45701440000000004,171.07,376.491,10.0,18.0,0.0,1.0,6842.8
deepseek-v4-flash,C4,250,0.4249068,382.9,559.308,19.0,28.0,0.0,1.016,15316.0
deepseek-v4-flash,C5,250,0.45305039999999996,184.865,396.30199999999996,11.0,22.099999999999994,0.0,1.0,7394.6
deepseek-v4-flash,C6,250,0.4533224,187.305,423.09099999999995,10.0,23.0,0.0,1.0,7492.200000000001
deepseek-v4-flash,C7,250,0.4559268,181.07999999999998,410.037,10.0,21.0,0.0,1.0,7243.2
deepseek-v4-pro,C0,250,0.4446096,851.52,1232.329,19.0,27.0,0.0,1.0,29803.200000000004
deepseek-v4-pro,C1,250,0.44253519999999996,770.22,1071.6349999999998,22.0,29.0,0.0,1.0,26957.7
deepseek-v4-pro,C2,250,0.44044679999999997,891.125,1246.434,21.0,27.0,0.0,1.0,31189.375
deepseek-v4-pro,C3,250,0.439894,362.4,767.889,9.0,17.0,0.0,1.0,12684.0
deepseek-v4-pro,C4,250,0.4550032,867.215,1168.176,25.0,29.0,0.0,1.0,30352.525
deepseek-v4-pro,C5,250,0.4431176,422.225,832.369,11.0,22.0,0.0,1.0,14777.875
deepseek-v4-pro,C6,250,0.452168,434.6,860.5379999999999,10.0,20.0,0.0,1.0,15211.0
deepseek-v4-pro,C7,250,0.44983839999999997,433.155,849.339,11.0,22.0,0.0,1.0,15160.425
kimi-k2.6,C0,250,0.4349216,771.315,1304.2869999999998,21.0,30.0,0.02,1.128,19282.875
kimi-k2.6,C1,250,0.4426956,708.38,1073.987,26.0,30.0,0.108,1.192,17709.5
kimi-k2.6,C2,250,0.4275896,756.31,1118.443,27.0,30.0,0.028,1.304,18907.75
kimi-k2.6,C3,250,0.45099239999999996,624.78,1117.199,15.0,28.099999999999994,0.012,1.028,15619.5
kimi-k2.6,C4,250,0.4318248,695.755,1052.376,27.0,30.0,0.068,1.288,17393.875
kimi-k2.6,C5,250,0.444216,587.425,1015.923,17.0,30.0,0.064,1.112,14685.625
kimi-k2.6,C6,250,0.4456256,636.825,1024.916,18.5,30.0,0.024,1.156,15920.625
kimi-k2.6,C7,250,0.4559928,610.8,1046.777,18.0,30.0,0.072,1.144,15270.0
qwen3-14b,C0,250,0.2448164,170.03,329.849,1.0,3.0,0.0,1.016,11902.099999999999
qwen3-14b,C1,250,0.2415504,154.34,295.316,3.0,4.0,0.0,1.0,10803.8
qwen3-14b,C2,250,0.2214852,151.245,291.138,3.0,5.0,0.0,1.056,10587.15
qwen3-14b,C3,250,0.2691016,174.74,358.83199999999994,2.0,3.0,0.0,1.0,12231.8
qwen3-14b,C4,250,0.2480664,155.055,274.738,3.0,4.0,0.0,1.024,10853.85
qwen3-14b,C5,250,0.3209376,163.575,323.91499999999996,3.0,4.0,0.0,1.012,11450.25
qwen3-14b,C6,250,0.2900732,156.67000000000002,311.85699999999997,2.0,3.0,0.0,1.0,10966.900000000001
qwen3-14b,C7,250,0.3151536,145.97,278.849,3.0,4.0,0.0,1.004,10217.900000000001
qwen3-8b,C0,262,0.17254007633587787,23.5,377.678,2.0,30.0,0.38549618320610685,1.9236641221374047,1880.0
qwen3-8b,C1,272,0.16693308823529412,41.165,252.18900000000002,8.0,30.0,0.3382352941176471,1.3051470588235294,3293.2
qwen3-8b,C2,259,0.12208185328185328,76.23,145.014,30.0,30.0,0.5444015444015444,2.5366795366795367,6098.400000000001
qwen3-8b,C3,256,0.423006640625,13.78,21.945,2.0,3.0,0.29296875,1.0,1102.3999999999999
qwen3-8b,C4,260,0.14361615384615387,66.66499999999999,632.054,13.0,30.0,0.4076923076923077,1.523076923076923,5333.2
qwen3-8b,C5,250,0.42470280000000005,13.635000000000002,23.362999999999996,2.0,4.0,0.22,1.0,1090.8000000000002
qwen3-8b,C6,255,0.4190098039215686,12.92,52.78999999999995,2.0,7.0,0.27450980392156865,1.0,1033.6
qwen3-8b,C7,250,0.4283108,15.684999999999999,25.179999999999996,3.0,5.0,0.192,1.0,1254.8
qwen3.6-27b,C0,250,0.4204016,300.33000000000004,590.621,11.0,19.0,0.22,1.0,15016.5
qwen3.6-27b,C1,250,0.43051839999999997,306.985,581.3299999999999,14.0,21.099999999999994,0.18,1.0,15349.25
qwen3.6-27b,C2,250,0.424908,346.96500000000003,613.6610000000001,14.0,24.0,0.188,1.0,17348.25
qwen3.6-27b,C3,250,0.44168759999999996,149.25,333.657,7.0,12.0,0.228,1.0,7462.5
qwen3.6-27b,C4,250,0.4386952,303.53,549.646,14.5,22.0,0.188,1.0,15176.5
qwen3.6-27b,C5,250,0.43492959999999997,155.08,349.996,8.0,14.0,0.212,1.0,7754.0
qwen3.6-27b,C6,250,0.4392152,143.53,347.7279999999999,7.0,13.099999999999994,0.244,1.0,7176.5
qwen3.6-27b,C7,250,0.4452964,150.16,357.21299999999997,7.0,14.0,0.264,1.0,7508.0
qwen3.6-35b-a3b,C0,249,0.38779277108433735,168.55,309.474,16.0,24.0,0.0,1.0,10113.0
qwen3.6-35b-a3b,C1,249,0.3929401606425703,148.98,236.73600000000005,19.0,26.0,0.41767068273092367,1.0,8938.8
qwen3.6-35b-a3b,C2,247,0.4003615384615385,170.19,277.736,18.0,26.0,0.26720647773279355,1.0161943319838056,10211.4
qwen3.6-35b-a3b,C3,250,0.43495,84.215,169.78999999999996,11.0,19.099999999999994,0.088,1.0,5052.900000000001
qwen3.6-35b-a3b,C4,248,0.4024221774193549,162.75,245.99700000000007,20.0,26.30000000000001,0.36693548387096775,1.0040322580645162,9765.0
qwen3.6-35b-a3b,C5,249,0.43445943775100404,102.04,183.42600000000007,14.0,23.0,0.27710843373493976,1.0160642570281124,6122.400000000001
qwen3.6-35b-a3b,C6,250,0.4380056,94.05,185.65099999999998,12.0,21.0,0.196,1.024,5643.0
qwen3.6-35b-a3b,C7,196,0.4106107142857143,99.33,182.995,13.0,25.0,0.28061224489795916,1.0714285714285714,5959.799999999999
