model,task,term,SS,df,F,p_value,pct_total_ss
deepseek-v4-flash,burn,KB_c,0.02494504360000069,1.0,0.2680287895863013,0.604949189126378,0.0682526656656524
deepseek-v4-flash,burn,WS_c,0.001814760000000067,1.0,0.01949918123974097,0.8890165702155796,0.0049654035298379055
deepseek-v4-flash,burn,KB_c:WS_c,0.017566851599999798,1.0,0.18875180363244565,0.664196563043896,0.04806503721857129
deepseek-v4-flash,burn,SK_c,0.0010471695999996638,1.0,0.011251597907789321,0.9155782568094648,0.002865183070035204
deepseek-v4-flash,burn,KB_c:SK_c,3.8688399999997405e-05,1.0,0.0004156980115693073,0.9837436928364893,0.00010585615614393135
deepseek-v4-flash,burn,WS_c:SK_c,0.001453134399999933,1.0,0.015613596856498876,0.9006237209195725,0.003975952015191148
deepseek-v4-flash,burn,KB_c:WS_c:SK_c,0.018360249999999835,1.0,0.19727668802317538,0.6571731526670309,0.05023587149744442
deepseek-v4-flash,burn,Residual,36.48286106239999,392.0,,,99.82153403084712
deepseek-v4-flash,change,KB_c,0.0032684088999997943,1.0,0.0689135879641417,0.7930631157293792,0.017011372062345348
deepseek-v4-flash,change,WS_c,0.00014786560000001523,1.0,0.0031177093638657884,0.9555005435094264,0.0007696089485077431
deepseek-v4-flash,change,KB_c:WS_c,0.012168296100000248,1.0,0.2565654938894403,0.6127743553804269,0.06333338901442322
deepseek-v4-flash,change,SK_c,0.5929462009000057,1.0,12.502123028036287,0.0004550867271187901,3.0861586616242547
deepseek-v4-flash,change,KB_c:SK_c,0.0035688676000000343,1.0,0.0752486848524348,0.7839871054469416,0.018575195589772713
deepseek-v4-flash,change,WS_c:SK_c,0.00011599289999999057,1.0,0.0024456814192880655,0.9605828169918621,0.0006037183347806884
deepseek-v4-flash,change,KB_c:WS_c:SK_c,0.009231366400000092,1.0,0.1946410623333171,0.6593248805286469,0.048047295573771374
deepseek-v4-flash,change,Residual,18.591635215199997,392.0,,,96.76550075885213
deepseek-v4-flash,landcover,KB_c,3.0470400000056496e-05,1.0,0.0015023878516237223,0.9691009514268988,0.0003827433444887555
deepseek-v4-flash,landcover,WS_c,0.00037674810000007576,1.0,0.01857611874348166,0.8916586469942074,0.0047323903796322245
deepseek-v4-flash,landcover,KB_c:WS_c,0.002770969599999751,1.0,0.13662672837411233,0.7118573985840585,0.03480657202329498
deepseek-v4-flash,landcover,SK_c,0.0054464399999983384,1.0,0.26854472834553655,0.6046020166238836,0.06841356402124148
deepseek-v4-flash,landcover,KB_c:SK_c,0.001087020899999985,1.0,0.053597162971868915,0.8170389401098931,0.013654235415170128
deepseek-v4-flash,landcover,WS_c:SK_c,0.0009265936000001392,1.0,0.04568705917972585,0.8308568016552941,0.011639083617060222
deepseek-v4-flash,landcover,KB_c:WS_c:SK_c,0.0001394760999999591,1.0,0.0068770740860443404,0.9339510188612591,0.0017519805775484888
deepseek-v4-flash,landcover,Residual,7.950275148400001,392.0,,,99.86461943062156
deepseek-v4-flash,query,KB_c,0.006131673025000213,1.0,0.10763873181038723,0.7430237550223807,0.02731346138131636
deepseek-v4-flash,query,WS_c,0.01227553202499993,1.0,0.21549138287078531,0.6427546353944235,0.05468120503701127
deepseek-v4-flash,query,KB_c:WS_c,0.02646640922499977,1.0,0.4646057793588252,0.49588178328206145,0.1178942913821014
deepseek-v4-flash,query,SK_c,0.06944542562500168,1.0,1.2190828691990618,0.27021799858783585,0.3093437864647871
deepseek-v4-flash,query,KB_c:SK_c,0.0009305550249999946,1.0,0.01633547032961353,0.8983646467196691,0.004145145808476366
deepseek-v4-flash,query,WS_c:SK_c,0.0009781256249999945,1.0,0.017170550581704927,0.8958136969083907,0.004357048455712844
deepseek-v4-flash,query,KB_c:WS_c:SK_c,0.002644530624999956,1.0,0.04642353262284662,0.8295198113095026,0.011780028844190073
deepseek-v4-flash,query,Residual,22.3303989686,392.0,,,99.47048503262643
deepseek-v4-flash,water,KB_c,0.00036979289999981553,1.0,0.0033996370516284733,0.953534274742365,0.0008640303121030083
deepseek-v4-flash,water,WS_c,0.0011122225000001287,1.0,0.010225055215114118,0.9195076828510776,0.0025987355457705616
deepseek-v4-flash,water,KB_c:WS_c,0.03693699610000079,1.0,0.33957488236654015,0.5604097571328555,0.08630421046063136
deepseek-v4-flash,water,SK_c,0.09383194240000624,1.0,0.8626302668587988,0.35357522301787947,0.21924066816087956
deepseek-v4-flash,water,KB_c:SK_c,0.014742816399999916,1.0,0.13553593072993186,0.7129585804288933,0.034446957352008735
deepseek-v4-flash,water,WS_c:SK_c,0.0006791236000001096,1.0,0.006243423692550178,0.9370607422983456,0.0015867891894758008
deepseek-v4-flash,water,KB_c:WS_c:SK_c,0.011431886399999723,1.0,0.10509737903422724,0.7459691765391748,0.0267108870238526
deepseek-v4-flash,water,Residual,42.6394978636,392.0,,,99.62824772195529
deepseek-v4-pro,burn,KB_c,1.6256250000061929e-06,1.0,1.8350561944936705e-05,0.99658424713982,4.6679248207931875e-06
deepseek-v4-pro,burn,WS_c,0.03356040802499963,1.0,0.37884035146959505,0.5385816886867012,0.09636752732963988
deepseek-v4-pro,burn,KB_c:WS_c,0.020714405624999724,1.0,0.23383067040224817,0.6289678718852856,0.05948068476096632
deepseek-v4-pro,burn,SK_c,0.0016092132249996153,1.0,0.018165300710713917,0.8928560139361646,0.004620798988017372
deepseek-v4-pro,burn,KB_c:SK_c,0.023242527025000053,1.0,0.2623688931503293,0.6087858075408537,0.0667400961461228
deepseek-v4-pro,burn,WS_c:SK_c,0.013262977224999896,1.0,0.14971662292393273,0.6990162784430083,0.03808417106402517
deepseek-v4-pro,burn,KB_c:WS_c:SK_c,0.006856668025000091,1.0,0.07740020689159657,0.780998668389683,0.019688680268644367
deepseek-v4-pro,burn,Residual,34.72618451219999,392.0,,,99.71501337351775
deepseek-v4-pro,change,KB_c,0.02861848889999932,1.0,0.5857821141108397,0.44451535238139533,0.1487918748678197
deepseek-v4-pro,change,WS_c,0.0006990736000000441,1.0,0.014309099713755715,0.9048449420829009,0.0036345899316370016
deepseek-v4-pro,change,KB_c:WS_c,7.259040000001791e-05,1.0,0.0014858282044431421,0.9692716262937813,0.00037740852604582845
deepseek-v4-pro,change,SK_c,0.04503308410000172,1.0,0.9217668794885558,0.33760327707371585,0.23413385094275949
deepseek-v4-pro,change,KB_c:SK_c,0.0030791401000000184,1.0,0.0630258712723828,0.8019073507579714,0.016008917523933262
deepseek-v4-pro,change,WS_c:SK_c,0.004266702400000076,1.0,0.0873336800166936,0.7677510677275816,0.022183234475355283
deepseek-v4-pro,change,KB_c:WS_c:SK_c,0.0009072144000000408,1.0,0.01856946294546787,0.8916779378467478,0.004716745595994533
deepseek-v4-pro,change,Residual,19.1512294052,392.0,,,99.57015337813644
deepseek-v4-pro,landcover,KB_c,0.00011870102499988687,1.0,0.005864957681534864,0.9389943448237563,0.0014953785996225431
deepseek-v4-pro,landcover,WS_c,0.0006747006250001109,1.0,0.03333661704551031,0.8552194718239696,0.008499782337836442
deepseek-v4-pro,landcover,KB_c:WS_c,0.0010604792249998502,1.0,0.05239774278930564,0.8190617139208085,0.013359766172285261
deepseek-v4-pro,landcover,SK_c,0.000377330624999567,1.0,0.01864371556666567,0.8914629266210148,0.004753557449121346
deepseek-v4-pro,landcover,KB_c:SK_c,0.0001601490250000066,1.0,0.007912882423424758,0.9291635909676508,0.0020175345978322747
deepseek-v4-pro,landcover,WS_c:SK_c,0.0006851306250001184,1.0,0.0338519580766304,0.8541172089986767,0.008631177991699494
deepseek-v4-pro,landcover,KB_c:WS_c:SK_c,0.0010833972250001136,1.0,0.05353010959192667,0.8171513899110819,0.013648483870776712
deepseek-v4-pro,landcover,Residual,7.933697790600001,392.0,,,99.94759431898083
deepseek-v4-pro,query,KB_c,0.004162185224999809,1.0,0.07277451646788904,0.7874810620076108,0.018530531127038473
deepseek-v4-pro,query,WS_c,0.0005191562250000295,1.0,0.00907728541698273,0.9241452509347833,0.0023113436973865756
deepseek-v4-pro,query,KB_c:WS_c,0.017149212025000145,1.0,0.29984864811602685,0.5842889558314134,0.07635027997425613
deepseek-v4-pro,query,SK_c,1.0080624999978671e-05,1.0,0.00017625659849570857,0.9894142169212851,4.488011110608744e-05
deepseek-v4-pro,query,KB_c:SK_c,0.0009800030249999877,1.0,0.0171350486405722,0.8959208448027458,0.004363087075096464
deepseek-v4-pro,query,WS_c:SK_c,0.012572015625000101,1.0,0.2198177900975491,0.639439415867409,0.0559720709855456
deepseek-v4-pro,query,KB_c:WS_c:SK_c,0.006222843224999933,1.0,0.1088044818464008,0.7416855381066569,0.02770481942680651
deepseek-v4-pro,query,Residual,22.419614549,392.0,,,99.81472298760276
deepseek-v4-pro,water,KB_c,0.005791971025000761,1.0,0.04576529412019173,0.8307142417550928,0.011638816670451748
deepseek-v4-pro,water,WS_c,0.05440789502499904,1.0,0.42990431194003953,0.512420526260135,0.1093312644154784
deepseek-v4-pro,water,KB_c:WS_c,0.030794985225000827,1.0,0.24332676219645566,0.6220898362789089,0.06188173004594888
deepseek-v4-pro,water,SK_c,0.014209832024997525,1.0,0.11227907377565757,0.737743448894721,0.028554291646657296
deepseek-v4-pro,water,KB_c:SK_c,0.00197535802499999,1.0,0.015608303393885454,0.9006404803718607,0.003969431099057942
deepseek-v4-pro,water,WS_c:SK_c,0.0020398772250001724,1.0,0.016118102243303463,0.8990394583527654,0.004099080770522974
deepseek-v4-pro,water,KB_c:WS_c:SK_c,0.04424501902500075,1.0,0.3496022856972721,0.5546791407236968,0.0889092267191661
deepseek-v4-pro,water,Residual,49.6107953734,392.0,,,99.69161615863273
kimi-k2.6,burn,KB_c,0.02175920009999929,1.0,0.20501886220559762,0.6509503988485063,0.05219389536747514
kimi-k2.6,burn,WS_c,0.00023685209999996492,1.0,0.0022316605311700232,0.9623456431619098,0.0005681382435085621
kimi-k2.6,burn,KB_c:WS_c,0.00636484840000017,1.0,0.059970677740088255,0.806670432980183,0.015267391719030209
kimi-k2.6,burn,SK_c,0.04888521000000221,1.0,0.4606047137221044,0.4977419615206125,0.11726118258167256
kimi-k2.6,burn,KB_c:SK_c,2.237290000000306e-05,1.0,0.0002108012464226749,0.9884233106786202,5.366598019690909e-05
kimi-k2.6,burn,WS_c:SK_c,0.00013900410000002137,1.0,0.0013097201318498111,0.9711492368322597,0.000333429786835381
kimi-k2.6,burn,KB_c:WS_c:SK_c,0.007751041599999908,1.0,0.07303162443642806,0.7871150407679915,0.018592459851470157
kimi-k2.6,burn,Residual,41.60400827240001,392.0,,,99.7957298364698
kimi-k2.6,change,KB_c,0.016854530624999423,1.0,0.30792968534620885,0.5792698883815945,0.07846305946345464
kimi-k2.6,change,WS_c,6.440062500001746e-05,1.0,0.001176589525604499,0.9726542271279093,0.00029980485255193425
kimi-k2.6,change,KB_c:WS_c,0.0016503906250000672,1.0,0.030152383187747246,0.8622345561462373,0.0076830794418704116
kimi-k2.6,change,SK_c,2.5857225000047575e-05,1.0,0.00047240752859535937,0.9826704528815936,0.00012037338967656526
kimi-k2.6,change,KB_c:SK_c,0.003495765625000025,1.0,0.06386710095347954,0.8006175128829383,0.016273871530889158
kimi-k2.6,change,WS_c:SK_c,0.0016309482250000387,1.0,0.029797173526464604,0.8630403362157901,0.007592569049071231
kimi-k2.6,change,KB_c:WS_c:SK_c,0.0010071102249999606,1.0,0.0183997490996993,0.8921710235387413,0.004688409972878007
kimi-k2.6,change,Residual,21.4561191058,392.0,,,99.8848788322996
kimi-k2.6,landcover,KB_c,0.0009610000000003062,1.0,0.03212584957787196,0.8578443328000328,0.008133445084536577
kimi-k2.6,landcover,WS_c,0.033445094400000756,1.0,1.1180562661933502,0.29098854441959754,0.2830633076477224
kimi-k2.6,landcover,KB_c:WS_c,0.00492663610000032,1.0,0.1646954945613669,0.6850911965853892,0.04169669528702944
kimi-k2.6,landcover,SK_c,0.03957712360000429,1.0,1.3230475749200612,0.2507470461415858,0.33496187451035264
kimi-k2.6,landcover,KB_c:SK_c,0.00023870249999999064,1.0,0.007979730082059558,0.9288658026155175,0.002020263970125804
kimi-k2.6,landcover,WS_c:SK_c,0.007487440900000407,1.0,0.2503021853033742,0.6171431281009001,0.06337012422876903
kimi-k2.6,landcover,KB_c:WS_c:SK_c,0.0026419600000001614,1.0,0.08831967695185507,0.7664817234979745,0.02236028779972604
kimi-k2.6,landcover,Residual,11.7261334704,392.0,,,99.24439400147172
kimi-k2.6,query,KB_c,0.03187831702500041,1.0,0.5891024232420966,0.44322847099650636,0.14954785028410833
kimi-k2.6,query,WS_c,0.023502423025000097,1.0,0.43431823409091114,0.5102645570716204,0.11025478029784572
kimi-k2.6,query,KB_c:WS_c,0.0007110222250000257,1.0,0.013139492759232232,0.9087989705796758,0.0033355539180310936
kimi-k2.6,query,SK_c,0.02861679722500101,1.0,0.5288304453919203,0.46753305117286786,0.13424737898361758
kimi-k2.6,query,KB_c:SK_c,0.0003604302250000098,1.0,0.006660650209064704,0.9349962703447027,0.0016908535442412757
kimi-k2.6,query,WS_c:SK_c,0.0038508230250000556,1.0,0.07116213737773268,0.789792437725734,0.01806501594051131
kimi-k2.6,query,KB_c:WS_c:SK_c,0.015105639024999928,1.0,0.2791480035558033,0.5975591679826531,0.07086371095390173
kimi-k2.6,query,Residual,21.2124407926,392.0,,,99.51199485607776
kimi-k2.6,water,KB_c,0.016182384099998805,1.0,0.11497591478478746,0.7347302921490784,0.029281680068484573
kimi-k2.6,water,WS_c,0.03290958809999938,1.0,0.2338227775095428,0.6289736599454897,0.059549200165744436
kimi-k2.6,water,KB_c:WS_c,0.0022278399999997762,1.0,0.015828813629144674,0.8999447574596452,0.004031229126724964
kimi-k2.6,water,SK_c,0.023454922500003115,1.0,0.16664733416161784,0.683331668137018,0.042441183723740825
kimi-k2.6,water,KB_c:SK_c,0.0014318656000000052,1.0,0.010173411790966036,0.9197105185295494,0.0025909303685525517
kimi-k2.6,water,WS_c:SK_c,0.01142761000000044,1.0,0.08119322254586285,0.7758373380334779,0.020678017398403775
kimi-k2.6,water,KB_c:WS_c:SK_c,0.004522562499999791,1.0,0.03213282773388685,0.8578290596518071,0.008183480715596747
kimi-k2.6,water,Residual,55.172377441600005,392.0,,,99.83324427843274
qwen3-14b,burn,KB_c,0.11606286239999931,1.0,1.8678463445112896,0.17250527551975686,0.4690591852313488
qwen3-14b,burn,WS_c,0.00334430890000007,1.0,0.05382130876846046,0.8166635803727527,0.013515768742543009
qwen3-14b,burn,KB_c:WS_c,2.5704900000008713e-05,1.0,0.00041367929851301695,0.9837832073510474,0.00010388438817667361
qwen3-14b,burn,SK_c,0.13452756840000185,1.0,2.1650062877644265,0.14198634468574284,0.5436828828793369
qwen3-14b,burn,KB_c:SK_c,0.006124627599999938,1.0,0.0985660963170671,0.7537242128053224,0.024752214209576646
qwen3-14b,burn,WS_c:SK_c,0.0028100601000000335,1.0,0.04522342786577804,0.8317042636442523,0.011356643061365218
qwen3-14b,burn,KB_c:WS_c:SK_c,0.12305362410000024,1.0,1.9803514854037683,0.1601457757375083,0.49731181418899006
qwen3-14b,burn,Residual,24.3578076936,392.0,,,98.44021760729868
qwen3-14b,change,KB_c,0.5650378560999993,1.0,22.755387133092956,2.599783565210147e-06,4.90540435229902
qwen3-14b,change,WS_c,0.002566435599999972,1.0,0.10335632382800118,0.7480098456789117,0.02228063876822257
qwen3-14b,change,KB_c:WS_c,0.027271219599999574,1.0,1.0982753684378908,0.2952906132648005,0.23675645423421818
qwen3-14b,change,SK_c,1.0254397696000033,1.0,41.29684177264764,3.7989270921744536e-10,8.902406545883052
qwen3-14b,change,KB_c:SK_c,0.14705691039999977,1.0,5.922323417134603,0.015396254117309443,1.2766819081660583
qwen3-14b,change,WS_c:SK_c,6.512490000000122e-05,1.0,0.002622731017940366,0.9591821923884603,0.0005653850701403383
qwen3-14b,change,KB_c:WS_c:SK_c,0.017511228900000043,1.0,0.7052178690221867,0.40154781589025557,0.15202460779010574
qwen3-14b,change,Residual,9.733731986,392.0,,,84.50388010778919
qwen3-14b,landcover,KB_c,0.027594193224998564,1.0,1.463363974287405,0.22712464749666136,0.3377013041665877
qwen3-14b,landcover,WS_c,0.12617769622499905,1.0,6.691404003323714,0.010047309781749914,1.544178959119394
qwen3-14b,landcover,KB_c:WS_c,0.00021447602499991914,1.0,0.011374004877552015,0.9151220172025207,0.002624785322200415
qwen3-14b,landcover,SK_c,0.5224904372250135,1.0,27.708499266870646,2.3286027126423493e-07,6.394305520250154
qwen3-14b,landcover,KB_c:SK_c,0.012404390624999989,1.0,0.6578245725687221,0.41782116369942807,0.15180653615411177
qwen3-14b,landcover,WS_c:SK_c,0.08966131922500081,1.0,4.754882426570951,0.029809285379733416,1.0972868164215406
qwen3-14b,landcover,KB_c:WS_c:SK_c,0.0008205360250000955,1.0,0.043514331033325276,0.8348681630831295,0.010041825955874255
qwen3-14b,landcover,Residual,7.391820445399999,392.0,,,90.46205425261013
qwen3-14b,query,KB_c,0.033388425625000225,1.0,2.213244423585717,0.1376345782138235,0.5592167607769145
qwen3-14b,query,WS_c,3.35820249999994e-05,1.0,0.002226077695269116,0.9623927366145126,0.0005624593220342625
qwen3-14b,query,KB_c:WS_c,0.00010701902500000266,1.0,0.007094052979889037,0.9329195829111152,0.001792442482139489
qwen3-14b,query,SK_c,0.001954966224999864,1.0,0.12959035997611043,0.7190510147268139,0.03274337915933672
qwen3-14b,query,KB_c:SK_c,0.0036608550249999997,1.0,0.2426699318092494,0.6225601635351863,0.06131500513823272
qwen3-14b,query,WS_c:SK_c,0.014193148225000065,1.0,0.9408322067928203,0.33266200262743634,0.23771849756426172
qwen3-14b,query,KB_c:WS_c:SK_c,0.003622234224999973,1.0,0.2401098449338001,0.6244009159100793,0.06066815227619012
qwen3-14b,query,Residual,5.9136093174,392.0,,,99.04598330328089
qwen3-14b,water,KB_c,0.0313768082249994,1.0,0.290791794268838,0.5900197150230477,0.07217004637534788
qwen3-14b,water,WS_c,0.14001441422500074,1.0,1.2976158200676593,0.25534480563873846,0.3220482687523474
qwen3-14b,water,KB_c:WS_c,0.0412150902250004,1.0,0.38197033782202494,0.5369095246087641,0.09479915712180388
qwen3-14b,water,SK_c,0.8719917780250084,1.0,8.081384565990898,0.004706160068802035,2.005675230179921
qwen3-14b,water,KB_c:SK_c,0.024776334024999822,1.0,0.22962037995927792,0.632072656293203,0.05698824312444485
qwen3-14b,water,WS_c:SK_c,0.004029075624999892,1.0,0.03734038598945419,0.8468737527974314,0.009267308918768506
qwen3-14b,water,KB_c:WS_c:SK_c,0.06551296202500023,1.0,0.6071564589523007,0.4363306115856261,0.15068688547369802
qwen3-14b,water,Residual,42.29730366060001,392.0,,,97.28836486005366
qwen3-8b,burn,KB_c,0.022592818769261017,1.0,0.345470006215117,0.5570099482712415,0.0736701483018574
qwen3-8b,burn,WS_c,0.10349272885679946,1.0,1.5825220414737735,0.20910855510051318,0.33746673050897563
qwen3-8b,burn,KB_c:WS_c,0.2726265494935866,1.0,4.168771356502849,0.04181052306418155,0.8889744364055345
qwen3-8b,burn,SK_c,2.893412452146203,1.0,44.24358146872086,9.221017802949759e-11,9.434773350993591
qwen3-8b,burn,KB_c:SK_c,0.021723211299958915,1.0,0.3321727146778054,0.5646964616120533,0.0708345520939574
qwen3-8b,burn,WS_c:SK_c,0.0966119095768618,1.0,1.477306454889271,0.22489076337161323,0.3150299118911513
qwen3-8b,burn,KB_c:WS_c:SK_c,0.2479750762382924,1.0,3.791822171644813,0.0521809455685483,0.8085914744951913
qwen3-8b,burn,Residual,27.009100598720813,413.0,,,88.07065939530975
qwen3-8b,change,KB_c,0.007526534414341728,1.0,0.25313271154765654,0.6151568384882035,0.04383583005070492
qwen3-8b,change,WS_c,0.00015521280089633984,1.0,0.005220123232670198,0.9424390051855758,0.000903986029589014
qwen3-8b,change,KB_c:WS_c,0.004274551173269269,1.0,0.14376187891695189,0.7047721810983734,0.024895720720737737
qwen3-8b,change,SK_c,5.3418171550496485,1.0,179.65621182478426,4.688477176223458e-34,31.11166123475121
qwen3-8b,change,KB_c:SK_c,0.007481440010478405,1.0,0.2516160947228139,0.616217476994847,0.04357319249201339
qwen3-8b,change,WS_c:SK_c,0.00017088047559478693,1.0,0.005747059105375086,0.9396089561296032,0.0009952372599111867
qwen3-8b,change,KB_c:WS_c:SK_c,0.004177402282967846,1.0,0.14049456348702624,0.7079899913638089,0.024329908886176397
qwen3-8b,change,Residual,11.80421978741818,397.0,,,68.74980488980965
qwen3-8b,landcover,KB_c,0.04707043092897952,1.0,1.1549063418804772,0.2831755030691521,0.15693591310305874
qwen3-8b,landcover,WS_c,1.8966027987920546,1.0,46.53449218805981,3.3612229367398274e-11,6.323398493447801
qwen3-8b,landcover,KB_c:WS_c,0.18808603430720372,1.0,4.614823989359383,0.03229968970682647,0.6270912110507457
qwen3-8b,landcover,SK_c,9.529929322779036,1.0,233.82356174211557,7.480217933238974e-42,31.77341125970368
qwen3-8b,landcover,KB_c:SK_c,0.05488994899793908,1.0,1.3467637527870435,0.24654030162593718,0.18300670072830047
qwen3-8b,landcover,WS_c:SK_c,1.8929354055582086,1.0,46.444510099084916,3.5022976517011203e-11,6.311171163157794
qwen3-8b,landcover,KB_c:WS_c:SK_c,0.16263939799586105,1.0,3.990472754932883,0.04643842581203527,0.5422504516587733
qwen3-8b,landcover,Residual,16.221256071059535,398.0,,,54.08273480714984
qwen3-8b,query,KB_c,0.03716752607317011,1.0,1.1808218560633714,0.2778194959468535,0.252362624965917
qwen3-8b,query,WS_c,0.003644344920601578,1.0,0.11578177478931771,0.733827472846343,0.02474462380502952
qwen3-8b,query,KB_c:WS_c,0.0024487861074531355,1.0,0.07779856401560008,0.7804421347386816,0.016626936343310784
qwen3-8b,query,SK_c,1.561912692550986,1.0,49.62236768183385,7.793974692338282e-12,10.605182230417158
qwen3-8b,query,KB_c:SK_c,0.02996539077122769,1.0,0.9520081664431138,0.32977705748090275,0.20346107131987246
qwen3-8b,query,WS_c:SK_c,0.011584893195785288,1.0,0.3680550343547881,0.5443980882431586,0.07865990464586242
qwen3-8b,query,KB_c:WS_c:SK_c,0.018569453130580636,1.0,0.5899562986400236,0.44287284210637007,0.12608415009891438
qwen3-8b,query,Residual,13.062532033229747,415.0,,,88.69287845840392
qwen3-8b,water,KB_c,0.23449411772311468,1.0,3.633611031143784,0.057338474760753204,0.4097276914048542
qwen3-8b,water,WS_c,0.025680468864034554,1.0,0.3979325189703996,0.5285182828355064,0.04487105827652041
qwen3-8b,water,KB_c:WS_c,0.17615010101482897,1.0,2.7295394716056114,0.09929044562018036,0.30778415650817587
qwen3-8b,water,SK_c,30.502896321965057,1.0,472.65859644376934,8.394785425688945e-70,53.2972059705036
qwen3-8b,water,KB_c:SK_c,0.21728268483420585,1.0,3.3669107274680417,0.06725894880838526,0.3796544395390269
qwen3-8b,water,WS_c:SK_c,0.02733453253905528,1.0,0.42356311505582583,0.5155371880697299,0.047761176363845324
qwen3-8b,water,KB_c:WS_c:SK_c,0.16943251241679946,1.0,2.625446864637502,0.10594896943306399,0.29604662511590374
qwen3-8b,water,Residual,25.878427933264405,401.0,,,45.21694888228807
qwen3.6-27b,burn,KB_c,0.005113680100000343,1.0,0.06892066692417034,0.793052730001305,0.017545618063856204
qwen3.6-27b,burn,WS_c,0.014419206399999747,1.0,0.1943377962976568,0.6595735822686344,0.049473937229333055
qwen3.6-27b,burn,KB_c:WS_c,0.0011390624999999468,1.0,0.015351947253858106,0.9014556037816138,0.003908252996869893
qwen3.6-27b,burn,SK_c,0.0002490084000001439,1.0,0.0033560615177569172,0.9538326910691599,0.0008543761431408592
