model,task,cfg,agent_mean,naive,delta,sub_naive
deepseek-v4-flash,burn,C0,0.342268,0.35,-0.007731999999999961,True
deepseek-v4-flash,burn,C1,0.3526559999999999,0.35,0.002655999999999936,False
deepseek-v4-flash,burn,C2,0.368624,0.35,0.01862400000000003,False
deepseek-v4-flash,burn,C3,0.355772,0.35,0.005771999999999999,False
deepseek-v4-flash,burn,C4,0.3254039999999999,0.35,-0.024596000000000062,True
deepseek-v4-flash,burn,C5,0.340304,0.35,-0.009695999999999982,True
deepseek-v4-flash,burn,C6,0.3474039999999999,0.35,-0.0025960000000000982,True
deepseek-v4-flash,burn,C7,0.332528,0.35,-0.017471999999999988,True
deepseek-v4-flash,change,C0,0.243596,0.25,-0.006403999999999993,True
deepseek-v4-flash,change,C1,0.234648,0.25,-0.015352000000000005,True
deepseek-v4-flash,change,C2,0.222818,0.25,-0.02718200000000001,True
deepseek-v4-flash,change,C3,0.318042,0.25,0.06804199999999999,False
deepseek-v4-flash,change,C4,0.255148,0.25,0.005147999999999986,False
deepseek-v4-flash,change,C5,0.316362,0.25,0.06636199999999998,False
deepseek-v4-flash,change,C6,0.314326,0.25,0.064326,False
deepseek-v4-flash,change,C7,0.315492,0.25,0.065492,False
deepseek-v4-flash,landcover,C0,0.7259960000000001,0.72,0.005996000000000112,False
deepseek-v4-flash,landcover,C1,0.728592,0.72,0.008592000000000044,False
deepseek-v4-flash,landcover,C2,0.7274560000000001,0.72,0.007456000000000129,False
deepseek-v4-flash,landcover,C3,0.7134560000000002,0.72,-0.006543999999999772,True
deepseek-v4-flash,landcover,C4,0.717162,0.72,-0.002838000000000007,True
deepseek-v4-flash,landcover,C5,0.7202839999999999,0.72,0.00028399999999995096,False
deepseek-v4-flash,landcover,C6,0.7186420000000001,0.72,-0.0013579999999998593,True
deepseek-v4-flash,landcover,C7,0.717304,0.72,-0.0026959999999999207,True
deepseek-v4-flash,query,C0,0.1811419999999999,0.19,-0.008858000000000116,True
deepseek-v4-flash,query,C1,0.1916719999999999,0.19,0.0016719999999998958,False
deepseek-v4-flash,query,C2,0.2167599999999999,0.19,0.026759999999999895,False
deepseek-v4-flash,query,C3,0.212714,0.19,0.022713999999999984,False
deepseek-v4-flash,query,C4,0.184468,0.19,-0.005532000000000009,True
deepseek-v4-flash,query,C5,0.21906,0.19,0.029060000000000002,False
deepseek-v4-flash,query,C6,0.2317919999999999,0.19,0.041791999999999885,False
deepseek-v4-flash,query,C7,0.215886,0.19,0.025885999999999992,False
deepseek-v4-flash,water,C0,0.6585119999999999,0.61,0.04851199999999989,False
deepseek-v4-flash,water,C1,0.639766,0.61,0.02976599999999996,False
deepseek-v4-flash,water,C2,0.6440440000000001,0.61,0.034044000000000074,False
deepseek-v4-flash,water,C3,0.685088,0.61,0.07508800000000004,False
deepseek-v4-flash,water,C4,0.6423519999999999,0.61,0.032351999999999936,False
deepseek-v4-flash,water,C5,0.6692419999999999,0.61,0.059241999999999906,False
deepseek-v4-flash,water,C6,0.654448,0.61,0.04444800000000004,False
deepseek-v4-flash,water,C7,0.6984239999999999,0.61,0.08842399999999995,False
deepseek-v4-pro,burn,C0,0.3096199999999999,0.35,-0.04038000000000008,True
deepseek-v4-pro,burn,C1,0.33085,0.35,-0.01915,True
deepseek-v4-pro,burn,C2,0.345568,0.35,-0.0044319999999999915,True
deepseek-v4-pro,burn,C3,0.3240899999999999,0.35,-0.0259100000000001,True
deepseek-v4-pro,burn,C4,0.354574,0.35,0.0045740000000000225,False
deepseek-v4-pro,burn,C5,0.33139,0.35,-0.01860999999999996,True
deepseek-v4-pro,burn,C6,0.353566,0.35,0.0035660000000000136,False
deepseek-v4-pro,burn,C7,0.31552,0.35,-0.034479999999999955,True
deepseek-v4-pro,change,C0,0.2819,0.25,0.031899999999999984,False
deepseek-v4-pro,change,C1,0.300502,0.25,0.05050199999999999,False
deepseek-v4-pro,change,C2,0.2688599999999999,0.25,0.018859999999999877,False
deepseek-v4-pro,change,C3,0.299126,0.25,0.049126,False
deepseek-v4-pro,change,C4,0.2951899999999999,0.25,0.0451899999999999,False
deepseek-v4-pro,change,C5,0.312654,0.25,0.06265399999999999,False
deepseek-v4-pro,change,C6,0.305174,0.25,0.055174,False
deepseek-v4-pro,change,C7,0.314382,0.25,0.064382,False
deepseek-v4-pro,landcover,C0,0.722376,0.72,0.0023760000000000447,False
deepseek-v4-pro,landcover,C1,0.724696,0.72,0.0046960000000000335,False
