model,task,contrast,delta,ci_low,ci_high,n_samples
deepseek-v4-flash,burn,C3_vs_C0,0.01350400000000001,-0.02377399999999996,0.06649239999999991,10
deepseek-v4-flash,burn,C1_vs_C0,0.010388000000000008,-0.005542949999999981,0.030330799999999995,10
deepseek-v4-flash,burn,C2_vs_C0,0.026356000000000008,-0.03472214999999998,0.08590045000000002,10
deepseek-v4-flash,burn,C5_vs_C3,-0.015468000000000015,-0.054372050000000005,0.022312199999999963,10
deepseek-v4-flash,burn,C6_vs_C3,-0.008368000000000018,-0.042024599999999926,0.02257289999999994,10
deepseek-v4-flash,burn,C7_vs_C3,-0.023244,-0.08114439999999994,0.025936549999999985,10
deepseek-v4-flash,burn,C7_vs_C0,-0.00973999999999999,-0.045603249999999984,0.023088450000000028,10
deepseek-v4-flash,burn,C4_vs_C0,-0.016864,-0.06760870000000001,0.021966099999999954,10
deepseek-v4-flash,change,C3_vs_C0,0.07444599999999998,0.030938,0.12654729999999992,10
deepseek-v4-flash,change,C1_vs_C0,-0.008948000000000012,-0.037739699999999994,0.017475099999999962,10
deepseek-v4-flash,change,C2_vs_C0,-0.020778000000000012,-0.059098100000000015,0.012292050000000014,10
deepseek-v4-flash,change,C5_vs_C3,-0.0016799999999999968,-0.0077704999999999936,0.0044111999999999945,10
deepseek-v4-flash,change,C6_vs_C3,-0.003715999999999984,-0.01641694999999995,0.008408199999999987,10
deepseek-v4-flash,change,C7_vs_C3,-0.0025499999999999746,-0.010224149999999951,0.006258499999999995,10
deepseek-v4-flash,change,C7_vs_C0,0.071896,0.034328250000000025,0.11415229999999997,10
deepseek-v4-flash,change,C4_vs_C0,0.01155199999999998,-0.02777,0.05275079999999997,10
deepseek-v4-flash,landcover,C3_vs_C0,-0.012540000000000029,-0.022110450000000018,-0.004853700000000038,10
deepseek-v4-flash,landcover,C1_vs_C0,0.002595999999999976,-0.0022383000000000385,0.008182049999999967,10
deepseek-v4-flash,landcover,C2_vs_C0,0.0014599999999999834,-0.007832100000000005,0.01106999999999998,10
deepseek-v4-flash,landcover,C5_vs_C3,0.006828000000000034,0.001983399999999999,0.01230100000000005,10
deepseek-v4-flash,landcover,C6_vs_C3,0.005186000000000001,-0.002436450000000026,0.013825350000000028,10
deepseek-v4-flash,landcover,C7_vs_C3,0.003848000000000018,-5.0349999999939546e-05,0.008924249999999996,10
deepseek-v4-flash,landcover,C7_vs_C0,-0.00869200000000001,-0.017140099999999988,-0.0009858500000000322,10
deepseek-v4-flash,landcover,C4_vs_C0,-0.008833999999999986,-0.018727350000000018,-0.0005491999999999663,10
deepseek-v4-flash,query,C3_vs_C0,0.031572,-0.003040350000000002,0.07189804999999999,10
deepseek-v4-flash,query,C1_vs_C0,0.010530000000000012,-0.01859974999999998,0.0516665,10
deepseek-v4-flash,query,C2_vs_C0,0.035618000000000004,-0.00311125,0.08377085000000001,10
deepseek-v4-flash,query,C5_vs_C3,0.006346000000000007,-0.0027994999999999878,0.017042650000000006,10
deepseek-v4-flash,query,C6_vs_C3,0.019078,0.000708200000000022,0.044753299999999975,10
deepseek-v4-flash,query,C7_vs_C3,0.003172000000000015,-0.010326349999999988,0.015085999999999995,10
deepseek-v4-flash,query,C7_vs_C0,0.03474400000000001,0.0020599500000000087,0.07543184999999991,10
deepseek-v4-flash,query,C4_vs_C0,0.003326000000000012,-0.024132549999999992,0.03238285,10
deepseek-v4-flash,water,C3_vs_C0,0.026576000000000023,-0.014270799999999946,0.08287814999999997,10
deepseek-v4-flash,water,C1_vs_C0,-0.018745999999999954,-0.09895614999999994,0.07848014999999997,10
deepseek-v4-flash,water,C2_vs_C0,-0.014467999999999957,-0.08674969999999994,0.04699740000000003,10
deepseek-v4-flash,water,C5_vs_C3,-0.015845999999999978,-0.06426040000000001,0.02740425000000001,10
deepseek-v4-flash,water,C6_vs_C3,-0.03063999999999999,-0.08930804999999996,0.018571450000000003,10
deepseek-v4-flash,water,C7_vs_C3,0.01333600000000001,-0.011802399999999982,0.04209965,10
deepseek-v4-flash,water,C7_vs_C0,0.039912000000000024,-0.02544014999999995,0.1265167,10
deepseek-v4-flash,water,C4_vs_C0,-0.016160000000000004,-0.10296129999999999,0.0876537499999999,10
deepseek-v4-pro,burn,C3_vs_C0,0.01447,-0.07823844999999999,0.14228144999999986,10
deepseek-v4-pro,burn,C1_vs_C0,0.021229999999999992,-0.03113694999999998,0.09756619999999999,10
deepseek-v4-pro,burn,C2_vs_C0,0.03594800000000001,-0.011005699999999997,0.11735499999999999,10
deepseek-v4-pro,burn,C5_vs_C3,0.007300000000000015,-0.01423150000000001,0.036780250000000035,10
deepseek-v4-pro,burn,C6_vs_C3,0.029476000000000002,0.0011146500000000176,0.06219515000000001,10
deepseek-v4-pro,burn,C7_vs_C3,-0.008569999999999994,-0.04071564999999999,0.018282650000000008,10
deepseek-v4-pro,burn,C7_vs_C0,0.005900000000000005,-0.07475189999999997,0.12604604999999997,10
deepseek-v4-pro,burn,C4_vs_C0,0.04495400000000001,0.007089750000000008,0.11028629999999999,10
deepseek-v4-pro,change,C3_vs_C0,0.017225999999999988,-0.05297419999999999,0.08293114999999995,10
deepseek-v4-pro,change,C1_vs_C0,0.018602,-0.050420299999999994,0.09096560000000002,10
deepseek-v4-pro,change,C2_vs_C0,-0.013039999999999996,-0.048187850000000004,0.02278825000000001,10
deepseek-v4-pro,change,C5_vs_C3,0.013527999999999995,-0.0015682500000000035,0.031634249999999975,10
deepseek-v4-pro,change,C6_vs_C3,0.0060479999999999865,-0.007868999999999996,0.019690749999999986,10
deepseek-v4-pro,change,C7_vs_C3,0.015256000000000002,0.0007230500000000185,0.03145535,10
deepseek-v4-pro,change,C7_vs_C0,0.032482,-0.03447675,0.10271239999999998,10
deepseek-v4-pro,change,C4_vs_C0,0.013290000000000014,-0.03911664999999999,0.06449299999999998,10
deepseek-v4-pro,landcover,C3_vs_C0,-0.00658600000000002,-0.02379999999999995,0.009394899999999954,10
deepseek-v4-pro,landcover,C1_vs_C0,0.0023199999999999944,-0.010314750000000006,0.014686449999999993,10
deepseek-v4-pro,landcover,C2_vs_C0,-0.005250000000000021,-0.014937550000000003,0.004240399999999952,10
deepseek-v4-pro,landcover,C5_vs_C3,0.006371999999999994,-0.004074149999999984,0.019958700000000017,10
deepseek-v4-pro,landcover,C6_vs_C3,0.006568000000000013,0.002103749999999991,0.012158250000000034,10
deepseek-v4-pro,landcover,C7_vs_C3,-0.00015599999999996728,-0.01362554999999999,0.011102350000000065,10
deepseek-v4-pro,landcover,C7_vs_C0,-0.006741999999999987,-0.02489845000000002,0.01090735000000003,10
deepseek-v4-pro,landcover,C4_vs_C0,-0.0028600000000000127,-0.014888950000000005,0.007645199999999977,10
