model,cfg,f1_mean,elapsed_median,elapsed_mean,tool_calls_median,on_frontier
deepseek-v4-flash,C0,0.4303028,319.385,364.19908000000004,16.0,False
deepseek-v4-flash,C1,0.4294668,339.45,370.20776,18.5,False
deepseek-v4-flash,C2,0.4359404,363.88,383.945,20.0,False
deepseek-v4-flash,C3,0.45701440000000004,171.07,211.26112000000003,10.0,True
deepseek-v4-flash,C4,0.4249068,382.9,391.36044000000004,19.0,False
deepseek-v4-flash,C5,0.45305039999999996,184.865,224.48652,11.0,False
deepseek-v4-flash,C6,0.4533224,187.305,227.73528000000002,10.0,False
deepseek-v4-flash,C7,0.4559268,181.07999999999998,219.77484,10.0,False
deepseek-v4-pro,C0,0.4446096,851.52,865.3151200000001,19.0,False
deepseek-v4-pro,C1,0.4425352,770.22,772.57596,22.0,False
deepseek-v4-pro,C2,0.44044679999999997,891.125,895.53232,21.0,False
deepseek-v4-pro,C3,0.439894,362.4,427.71276,9.0,False
deepseek-v4-pro,C4,0.45500320000000005,867.215,867.8223200000001,25.0,False
deepseek-v4-pro,C5,0.4431176,422.225,483.40295999999995,11.0,False
deepseek-v4-pro,C6,0.452168,434.6,496.27032,10.0,False
deepseek-v4-pro,C7,0.44983839999999997,433.155,502.1370000000001,11.0,False
kimi-k2.6,C0,0.4349216,771.315,834.66488,21.0,False
kimi-k2.6,C1,0.4426956,708.38,738.25504,26.0,False
kimi-k2.6,C2,0.4275896,756.31,791.66764,27.0,False
kimi-k2.6,C3,0.45099239999999996,624.78,673.95536,15.0,False
kimi-k2.6,C4,0.4318248,695.755,722.66072,27.0,False
kimi-k2.6,C5,0.444216,587.425,646.9489199999999,17.0,False
kimi-k2.6,C6,0.44562559999999996,636.825,664.2882,18.5,False
kimi-k2.6,C7,0.4559928,610.8,649.99584,18.0,False
qwen3-14b,C0,0.2448164,170.03,223.43587999999997,1.0,False
qwen3-14b,C1,0.2415504,154.34,177.173,3.0,False
qwen3-14b,C2,0.2214852,151.245,170.85444,3.0,False
qwen3-14b,C3,0.2691016,174.74,202.53192,2.0,False
qwen3-14b,C4,0.2480664,155.055,179.40412,3.0,False
qwen3-14b,C5,0.3209376,163.575,187.86431999999996,3.0,False
qwen3-14b,C6,0.29007320000000003,156.67000000000002,180.87259999999998,2.0,False
qwen3-14b,C7,0.31515360000000003,145.97,167.43556,3.0,False
qwen3-8b,C0,0.17254007633587787,23.5,116.77496183206107,2.0,False
qwen3-8b,C1,0.16693308823529412,41.165,103.06926470588235,8.0,False
qwen3-8b,C2,0.12208185328185328,76.23,94.95555984555983,30.0,False
qwen3-8b,C3,0.423006640625,13.78,31.769960937500002,2.0,False
qwen3-8b,C4,0.14361615384615384,66.66499999999999,212.08673076923077,13.0,False
qwen3-8b,C5,0.42470280000000005,13.635000000000002,16.10548,2.0,True
qwen3-8b,C6,0.4190098039215686,12.92,20.583294117647057,2.0,True
qwen3-8b,C7,0.42831080000000005,15.684999999999999,16.509,3.0,True
qwen3.6-27b,C0,0.42040159999999993,300.33000000000004,344.68432,11.0,False
qwen3.6-27b,C1,0.43051839999999997,306.985,349.92132,14.0,False
qwen3.6-27b,C2,0.424908,346.96500000000003,368.03652,14.0,False
qwen3.6-27b,C3,0.44168759999999996,149.25,181.97375999999997,7.0,True
qwen3.6-27b,C4,0.43869520000000006,303.53,331.32696000000004,14.5,False
qwen3.6-27b,C5,0.43492959999999997,155.08,186.6008,8.0,False
qwen3.6-27b,C6,0.4392152,143.53,185.44628,7.0,True
qwen3.6-27b,C7,0.44529640000000004,150.16,184.57023999999998,7.0,True
qwen3.6-35b-a3b,C0,0.38779277108433735,168.55,187.74670682730925,16.0,False
qwen3.6-35b-a3b,C1,0.39294016064257026,148.98,155.92497991967872,19.0,False
qwen3.6-35b-a3b,C2,0.4003615384615385,170.19,183.9104048582996,18.0,False
qwen3.6-35b-a3b,C3,0.43495000000000006,84.215,95.26504000000001,11.0,True
qwen3.6-35b-a3b,C4,0.4024221774193549,162.75,168.68487903225807,20.0,False
qwen3.6-35b-a3b,C5,0.434459437751004,102.04,111.36076305220884,14.0,False
qwen3.6-35b-a3b,C6,0.4380056,94.05,115.9996,12.0,True
qwen3.6-35b-a3b,C7,0.4106107142857143,99.33,111.1230612244898,13.0,False
