model,cfg,active_B,total_B,f1_mean,ci_low,ci_high,n_trials
deepseek-v4-flash,C0,13,284,0.4303027999999999,0.3394611899999999,0.5179166999999998,250
deepseek-v4-flash,C1,13,284,0.4294668000000001,0.33877075,0.51930429,250
deepseek-v4-flash,C2,13,284,0.4359404,0.34888874,0.52364799,250
deepseek-v4-flash,C3,13,284,0.4570144,0.36691404,0.5462660899999999,250
deepseek-v4-flash,C4,13,284,0.4249068,0.3383201299999999,0.5122546,250
deepseek-v4-flash,C5,13,284,0.4530503999999999,0.36116261,0.5426652699999999,250
deepseek-v4-flash,C6,13,284,0.4533224,0.3638337700000001,0.5381596599999999,250
deepseek-v4-flash,C7,13,284,0.4559268,0.37240993,0.54642298,250
deepseek-v4-pro,C0,49,1600,0.4446096,0.35990056,0.5338621899999999,250
deepseek-v4-pro,C1,49,1600,0.4425352000000001,0.34650618,0.5357845499999999,250
deepseek-v4-pro,C2,49,1600,0.4404468000000001,0.35196305,0.53415266,250
deepseek-v4-pro,C3,49,1600,0.4398939999999999,0.34859935,0.52943791,250
deepseek-v4-pro,C4,49,1600,0.4550031999999999,0.36958772,0.5479063699999996,250
deepseek-v4-pro,C5,49,1600,0.4431176,0.35683219,0.5325372399999998,250
deepseek-v4-pro,C6,49,1600,0.452168,0.36069624,0.53771941,250
deepseek-v4-pro,C7,49,1600,0.4498384,0.3654957200000001,0.53971299,250
kimi-k2.6,C0,32,1000,0.4349215999999999,0.3455517299999999,0.52794184,250
kimi-k2.6,C1,32,1000,0.4426955999999999,0.3529951300000001,0.5334762499999999,250
kimi-k2.6,C2,32,1000,0.4275895999999999,0.33832089,0.51353635,250
kimi-k2.6,C3,32,1000,0.4509924,0.35753923,0.5441918899999999,250
kimi-k2.6,C4,32,1000,0.4318247999999999,0.34906156,0.52345997,250
kimi-k2.6,C5,32,1000,0.444216,0.35339357,0.5379033599999999,250
kimi-k2.6,C6,32,1000,0.4456256,0.34776974,0.5343559899999999,250
kimi-k2.6,C7,32,1000,0.4559928,0.3676549799999999,0.5442266999999998,250
qwen3-14b,C0,14,14,0.2448164,0.18255803,0.30997965,250
qwen3-14b,C1,14,14,0.2415504,0.1779241,0.31235987,250
qwen3-14b,C2,14,14,0.2214851999999999,0.1584614099999999,0.28362755,250
qwen3-14b,C3,14,14,0.2691016,0.20797934,0.3363249699999999,250
qwen3-14b,C4,14,14,0.2480664,0.18823352,0.3137952499999999,250
qwen3-14b,C5,14,14,0.3209376,0.25175839,0.3951127399999999,250
qwen3-14b,C6,14,14,0.2900732,0.22132537,0.3652203699999999,250
qwen3-14b,C7,14,14,0.3151536,0.242907,0.3902582599999998,250
qwen3-8b,C0,8,8,0.1789268,0.1182135916666666,0.2393371733333333,262
qwen3-8b,C1,8,8,0.1736571714285714,0.1115280238095238,0.2374877885714285,272
qwen3-8b,C2,8,8,0.1187362666666666,0.078619455,0.1653640516666666,259
qwen3-8b,C3,8,8,0.427815,0.34093546,0.51826575,256
qwen3-8b,C4,8,8,0.1403507523809523,0.0963150635714285,0.1890598747619046,260
qwen3-8b,C5,8,8,0.4247027999999999,0.33529168,0.51486292,250
qwen3-8b,C6,8,8,0.4257837333333332,0.3403754183333333,0.5130289349999999,255
qwen3-8b,C7,8,8,0.4283107999999999,0.3425674800000001,0.5195465499999999,250
qwen3.6-27b,C0,27,27,0.4204015999999999,0.33589701,0.5052263299999998,250
qwen3.6-27b,C1,27,27,0.4305183999999999,0.34252093,0.51918625,250
qwen3.6-27b,C2,27,27,0.424908,0.3344343,0.5160061399999999,250
qwen3.6-27b,C3,27,27,0.4416876,0.34666663,0.5307029399999998,250
qwen3.6-27b,C4,27,27,0.4386952,0.3476186499999999,0.5296384999999999,250
qwen3.6-27b,C5,27,27,0.4349296,0.35416746,0.5206041299999999,250
qwen3.6-27b,C6,27,27,0.4392152,0.34900492,0.52545861,250
qwen3.6-27b,C7,27,27,0.4452964,0.35711355,0.5345899399999998,250
qwen3.6-35b-a3b,C0,3,35,0.3881351,0.3045498375,0.4693098925,249
qwen3.6-35b-a3b,C1,3,35,0.3947833,0.31102239,0.480484085,249
qwen3.6-35b-a3b,C2,3,35,0.4022459,0.3150680025,0.4872063374999999,247
qwen3.6-35b-a3b,C3,3,35,0.4349499999999999,0.34832832,0.53169446,250
qwen3.6-35b-a3b,C4,3,35,0.3998833,0.3134251325,0.4853233775,248
qwen3.6-35b-a3b,C5,3,35,0.4346149999999999,0.3446736200000001,0.52759587,249
qwen3.6-35b-a3b,C6,3,35,0.4380056,0.34568927,0.52527873,250
qwen3.6-35b-a3b,C7,3,35,0.4157736999999998,0.3248991941666667,0.5013304249999998,196
