model,task,sk_effect,ci_low,ci_high,n_samples
deepseek-v4-flash,burn,-0.0032359999999999737,-0.01678041249999996,0.008561462500000009,10
deepseek-v4-flash,change,0.07700299999999999,0.03307590000000004,0.12069663749999995,10
deepseek-v4-flash,landcover,-0.007379999999999986,-0.014340375000000018,-0.0017446624999999873,10
deepseek-v4-flash,query,0.02635249999999998,0.005281787499999987,0.05124868749999996,10
deepseek-v4-flash,water,0.030632000000000027,0.0007827374999999939,0.06558786250000001,10
deepseek-v4-pro,burn,-0.004011500000000001,-0.062132099999999996,0.05883857499999999,10
deepseek-v4-pro,change,0.02122099999999998,-0.013481062500000016,0.053890974999999966,10
deepseek-v4-pro,landcover,-0.0019425000000000137,-0.011524112500000022,0.008198275000000003,10
deepseek-v4-pro,query,-0.0003174999999999956,-0.01378667499999999,0.018581887499999988,10
deepseek-v4-pro,water,-0.011920499999999962,-0.02223423749999994,-0.0028994874999999417,10
kimi-k2.6,burn,0.02210999999999999,-0.012855900000000017,0.06386031249999995,10
kimi-k2.6,change,0.0005085000000000096,-0.012947512499999984,0.014667200000000003,10
kimi-k2.6,landcover,0.019894000000000023,0.0025629750000000415,0.0391995875,10
kimi-k2.6,query,0.0169165,-0.003600537500000001,0.0413367375,10
kimi-k2.6,water,0.015315000000000023,0.001659337500000032,0.027568124999999968,10
qwen3-14b,burn,0.036678,0.010571849999999997,0.07202362499999994,10
qwen3-14b,change,0.10126399999999999,0.052232412500000026,0.15179168749999997,10
qwen3-14b,landcover,0.07228349999999999,0.03883688750000003,0.10816629999999994,10
qwen3-14b,query,-0.004421500000000002,-0.028327112499999987,0.01961351249999994,10
qwen3-14b,water,0.0933805,0.04327172499999998,0.14421542499999992,10
qwen3-8b,burn,0.16118529267833615,0.04200685961321287,0.29446147875494055,10
qwen3-8b,change,0.2296090476190476,0.12574888095238096,0.34355591071428565,10
qwen3-8b,landcover,0.30842763852813854,0.23532598311688313,0.385112078517316,10
qwen3-8b,query,0.12271749981178241,0.0034632470779221215,0.29652333509552037,10
qwen3-8b,water,0.5473533333333334,0.3550327261904762,0.7180045357142856,10
qwen3.6-27b,burn,0.0015780000000000238,-0.03454431249999996,0.04517567499999993,10
qwen3.6-27b,change,0.04874149999999999,0.02446352500000001,0.07337843749999994,10
qwen3.6-27b,landcover,0.012199999999999994,0.0008448624999999844,0.026522087499999975,10
qwen3.6-27b,query,0.0025040000000000006,-0.020298862499999994,0.0345254,10
qwen3.6-27b,water,-0.006766499999999995,-0.0428846625,0.023562925,10
qwen3.6-35b-a3b,burn,0.01754273684210525,-0.009714637500000007,0.056973685526315765,10
qwen3.6-35b-a3b,change,0.07374915789473685,0.03323270723684211,0.11292076907894738,10
qwen3.6-35b-a3b,landcover,0.004792078947368411,-0.01948840986842102,0.02773985723684204,10
qwen3.6-35b-a3b,query,0.03360341228070175,-0.0023367135964912356,0.0855183890350877,10
qwen3.6-35b-a3b,water,0.04741800619195045,-0.022960057352941196,0.12067119442724455,10
