model,cfg,n_trials,n_skill_invoked,skill_rate
qwen3-8b,C3,256,255,0.9961
qwen3-8b,C5,250,248,0.9920
qwen3-8b,C6,255,255,1.0000
qwen3-8b,C7,250,250,1.0000
qwen3-14b,C3,250,37,0.1480
qwen3-14b,C5,250,144,0.5760
qwen3-14b,C6,250,72,0.2880
qwen3-14b,C7,250,148,0.5920
qwen3.6-27b,C3,251,251,1.0000
qwen3.6-27b,C5,252,252,1.0000
qwen3.6-27b,C6,250,250,1.0000
qwen3.6-27b,C7,250,250,1.0000
qwen3.6-35b-a3b,C3,250,250,1.0000
qwen3.6-35b-a3b,C5,250,250,1.0000
qwen3.6-35b-a3b,C6,250,250,1.0000
qwen3.6-35b-a3b,C7,250,206,0.8240
deepseek-v4-flash,C3,250,250,1.0000
deepseek-v4-flash,C5,250,250,1.0000
deepseek-v4-flash,C6,250,250,1.0000
deepseek-v4-flash,C7,250,250,1.0000
deepseek-v4-pro,C3,250,250,1.0000
deepseek-v4-pro,C5,250,250,1.0000
deepseek-v4-pro,C6,250,250,1.0000
deepseek-v4-pro,C7,250,250,1.0000
kimi-k2.6,C3,254,254,1.0000
kimi-k2.6,C5,254,250,0.9843
kimi-k2.6,C6,250,250,1.0000
kimi-k2.6,C7,251,249,0.9920
